Machines,Total (hrs/yr)
1,5.529
2,11.058
3,16.587
4,22.116
5,27.645
6,33.174
7,38.703
8,44.232
9,49.761
10,55.29
11,60.819
12,66.348
13,71.877
14,77.406
15,82.935
16,88.464
17,93.993
18,99.522
19,105.051
20,110.58
21,116.109
22,121.638
23,127.167
24,132.696
25,138.225
26,143.754
27,149.283
28,154.812
29,160.341
30,165.87
31,171.399
32,176.928
33,182.457
34,187.986
35,193.515
36,199.044
37,204.573
38,210.102
39,215.631
40,221.16
41,226.689
42,232.218
43,237.747
44,243.276
45,248.805
46,254.334
47,259.863
48,265.392
49,270.921
50,276.45
51,281.979
52,287.508
53,293.037
54,298.566
55,304.095
56,309.624
57,315.153
58,320.682
59,326.211
60,331.74
61,337.269
62,342.798
63,348.327
64,353.856
65,359.385
66,364.914
67,370.443
68,375.972
69,381.501
70,387.03
71,392.559
72,398.088
73,403.617
74,409.146
75,414.675
76,420.204
77,425.733
78,431.262
79,436.791
80,442.32
81,447.849
82,453.378
83,458.907
84,464.436
85,469.965
86,475.494
87,481.023
88,486.552
89,492.081
90,497.61
91,503.139
92,508.668
93,514.197
94,519.726
95,525.255
96,530.784
97,536.313
98,541.842
99,547.371
100,552.9
101,558.429
102,563.958
103,569.487
104,575.016
105,580.545
106,586.074
107,591.603
108,597.132
109,602.661
110,608.19
111,613.719
112,619.248
113,624.777
114,630.306
115,635.835
116,641.364
117,646.893
118,652.422
119,657.951
120,663.48
121,669.009
122,674.538
123,680.067
124,685.596
125,691.125
126,696.654
127,702.183
128,707.712
129,713.241
130,718.77
131,724.299
132,729.828
133,735.357
134,740.886
135,746.415
136,751.944
137,757.473
138,763.002
139,768.531
140,774.06
141,779.589
142,785.118
143,790.647
144,796.176
145,801.705
146,807.234
147,812.763
148,818.292
149,823.821
150,829.35
151,834.879
152,840.408
153,845.937
154,851.466
155,856.995
156,862.524
157,868.053
158,873.582
159,879.111
160,884.64
161,890.169
162,895.698
163,901.227
164,906.756
165,912.285
166,917.814
167,923.343
168,928.872
169,934.401
170,939.93
171,945.459
172,950.988
173,956.517
174,962.046
175,967.575
176,973.104
177,978.633
178,984.162
179,989.691
180,995.22
181,1000.749
182,1006.278
183,1011.807
184,1017.336
185,1022.865
186,1028.394
187,1033.923
188,1039.452
189,1044.981
190,1050.51
191,1056.039
192,1061.568
193,1067.097
194,1072.626
195,1078.155
196,1083.684
197,1089.213
198,1094.742
199,1100.271
200,1105.8
201,1111.329
202,1116.858
203,1122.387
204,1127.916
205,1133.445
206,1138.974
