Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,277.33,1616.70
126,5,1,277.33,1647.20
142,5,1,277.33,1668.37
158,5,1,277.33,1691.39
174,5,1,277.33,1710.69
190,5,1,277.33,1738.16
206,5,1,277.33,1759.32
222,5,1,277.33,1780.46
238,5,1,277.33,1801.61
254,5,1,277.33,1828.81
270,5,1,277.33,1849.99
286,5,1,277.33,1871.14
302,5,1,277.33,1892.27
110,6,1,332.80,1882.85
126,6,1,332.80,1915.84
142,6,1,332.80,1938.25
158,6,1,332.80,1962.51
174,6,1,332.80,1983.03
190,6,1,332.80,2013.00
206,6,1,332.80,2035.39
222,6,1,332.80,2057.77
238,6,1,332.80,2080.16
254,6,1,332.80,2109.83
270,6,1,332.80,2132.26
286,6,1,332.80,2154.65
302,6,1,332.80,2177.02
110,7,1,388.26,2148.99
126,7,1,388.26,2184.47
142,7,1,388.26,2208.12
158,7,1,388.26,2233.62
174,7,1,388.26,2255.38
190,7,1,388.26,2287.82
206,7,1,388.26,2311.45
222,7,1,388.26,2335.07
238,7,1,388.26,2358.71
254,7,1,388.26,2390.85
270,7,1,388.26,2414.52
286,7,1,388.26,2438.16
302,7,1,388.26,2461.76
110,5,2,554.67,1894.04
126,5,2,554.67,1924.54
142,5,2,554.67,1945.71
158,5,2,554.67,1968.73
174,5,2,554.67,1988.03
190,5,2,554.67,2015.50
206,5,2,554.67,2036.66
222,5,2,554.67,2057.80
238,5,2,554.67,2078.95
254,5,2,554.67,2106.15
270,5,2,554.67,2127.33
286,5,2,554.67,2148.48
302,5,2,554.67,2169.61
110,6,2,665.60,2215.65
126,6,2,665.60,2248.64
142,6,2,665.60,2271.05
158,6,2,665.60,2295.31
174,6,2,665.60,2315.83
190,6,2,665.60,2345.80
206,6,2,665.60,2368.19
222,6,2,665.60,2390.57
238,6,2,665.60,2412.96
254,6,2,665.60,2442.63
270,6,2,665.60,2465.06
286,6,2,665.60,2487.45
302,6,2,665.60,2509.82
110,7,2,776.53,2537.26
126,7,2,776.53,2572.73
142,7,2,776.53,2596.38
158,7,2,776.53,2621.88
174,7,2,776.53,2643.65
190,7,2,776.53,2676.09
206,7,2,776.53,2699.72
222,7,2,776.53,2723.34
238,7,2,776.53,2746.97
254,7,2,776.53,2779.12
270,7,2,776.53,2802.79
286,7,2,776.53,2826.43
302,7,2,776.53,2850.02
110,5,3,832.00,2171.37
126,5,3,832.00,2201.87
142,5,3,832.00,2223.04
158,5,3,832.00,2246.06
174,5,3,832.00,2265.36
190,5,3,832.00,2292.83
206,5,3,832.00,2313.99
222,5,3,832.00,2335.13
238,5,3,832.00,2356.28
254,5,3,832.00,2383.48
270,5,3,832.00,2404.66
286,5,3,832.00,2425.81
302,5,3,832.00,2446.94
110,6,3,998.40,2548.45
126,6,3,998.40,2581.44
142,6,3,998.40,2603.85
158,6,3,998.40,2628.11
174,6,3,998.40,2648.63
190,6,3,998.40,2678.60
206,6,3,998.40,2700.99
222,6,3,998.40,2723.37
238,6,3,998.40,2745.76
254,6,3,998.40,2775.43
270,6,3,998.40,2797.86
286,6,3,998.40,2820.25
302,6,3,998.40,2842.62
110,7,3,1164.80,2925.53
126,7,3,1164.80,2961.00
142,7,3,1164.80,2984.65
158,7,3,1164.80,3010.15
174,7,3,1164.80,3031.92
190,7,3,1164.80,3064.36
206,7,3,1164.80,3087.99
222,7,3,1164.80,3111.60
238,7,3,1164.80,3135.24
254,7,3,1164.80,3167.38
270,7,3,1164.80,3191.06
286,7,3,1164.80,3214.69
302,7,3,1164.80,3238.29
