Machines,Total (hrs/yr)
1,9.4
2,18.8
3,28.2
4,37.6
5,47
6,56.4
7,65.8
8,75.2
9,84.6
10,94
11,103.4
12,112.8
13,122.2
14,131.6
15,141
16,150.4
17,159.8
18,169.2
19,178.6
20,188
21,197.4
22,206.8
23,216.2
24,225.6
25,235
26,244.4
27,253.8
28,263.2
29,272.6
30,282
31,291.4
32,300.8
33,310.2
34,319.6
35,329
36,338.4
37,347.8
38,357.2
39,366.6
40,376
41,385.4
42,394.8
43,404.2
44,413.6
45,423
46,432.4
47,441.8
48,451.2
49,460.6
50,470
51,479.4
52,488.8
53,498.2
54,507.6
55,517
56,526.4
57,535.8
58,545.2
59,554.6
60,564
61,573.4
62,582.8
63,592.2
64,601.6
65,611
66,620.4
67,629.8
68,639.2
69,648.6
70,658
71,667.4
72,676.8
73,686.2
74,695.6
75,705
76,714.4
77,723.8
78,733.2
79,742.6
80,752
81,761.4
82,770.8
83,780.2
84,789.6
85,799
86,808.4
87,817.8
88,827.2
89,836.6
90,846
91,855.4
92,864.8
93,874.2
94,883.6
95,893
96,902.4
97,911.8
98,921.2
99,930.6
100,940
101,949.4
102,958.8
103,968.2
104,977.6
105,987
106,996.4
107,1005.8
108,1015.2
109,1024.6
110,1034
111,1043.4
112,1052.8
113,1062.2
114,1071.6
115,1081
116,1090.4
117,1099.8
118,1109.2
119,1118.6
120,1128
121,1137.4
122,1146.8
123,1156.2
124,1165.6
125,1175
126,1184.4
127,1193.8
128,1203.2
129,1212.6
130,1222
131,1231.4
132,1240.8
133,1250.2
134,1259.6
135,1269
136,1278.4
137,1287.8
138,1297.2
139,1306.6
140,1316
141,1325.4
142,1334.8
143,1344.2
144,1353.6
145,1363
146,1372.4
147,1381.8
148,1391.2
149,1400.6
150,1410
151,1419.4
152,1428.8
153,1438.2
154,1447.6
155,1457
156,1466.4
157,1475.8
158,1485.2
159,1494.6
160,1504
161,1513.4
162,1522.8
163,1532.2
164,1541.6
165,1551
166,1560.4
167,1569.8
168,1579.2
169,1588.6
170,1598
171,1607.4
172,1616.8
173,1626.2
174,1635.6
175,1645
176,1654.4
177,1663.8
178,1673.2
179,1682.6
180,1692
181,1701.4
182,1710.8
183,1720.2
184,1729.6
185,1739
186,1748.4
187,1757.8
188,1767.2
189,1776.6
190,1786
191,1795.4
192,1804.8
193,1814.2
194,1823.6
195,1833
196,1842.4
197,1851.8
198,1861.2
199,1870.6
200,1880
201,1889.4
202,1898.8
203,1908.2
204,1917.6
205,1927
206,1936.4
207,1945.8
208,1955.2
209,1964.6
210,1974
211,1983.4
212,1992.8
213,2002.2
214,2011.6
215,2021
216,2030.4
217,2039.8
218,2049.2
219,2058.6
220,2068
221,2077.4
222,2086.8
223,2096.2
224,2105.6
225,2115
226,2124.4
227,2133.8
228,2143.2
229,2152.6
230,2162
231,2171.4
232,2180.8
233,2190.2
234,2199.6
235,2209
236,2218.4
237,2227.8
238,2237.2
239,2246.6
240,2256
241,2265.4
242,2274.8
243,2284.2
244,2293.6
245,2303
246,2312.4
247,2321.8
248,2331.2
249,2340.6
250,2350
251,2359.4
252,2368.8
253,2378.2
254,2387.6
255,2397
256,2406.4
257,2415.8
258,2425.2
259,2434.6
260,2444
261,2453.4
262,2462.8
263,2472.2
264,2481.6
265,2491
266,2500.4
267,2509.8
268,2519.2
269,2528.6
270,2538
271,2547.4
272,2556.8
273,2566.2
274,2575.6
275,2585
276,2594.4
277,2603.8
278,2613.2
279,2622.6
280,2632
281,2641.4
282,2650.8
283,2660.2
284,2669.6
285,2679
286,2688.4
287,2697.8
288,2707.2
289,2716.6
290,2726
291,2735.4
292,2744.8
293,2754.2
294,2763.6
295,2773
296,2782.4
297,2791.8
298,2801.2
299,2810.6
300,2820
301,2829.4
302,2838.8
303,2848.2
304,2857.6
305,2867
306,2876.4
307,2885.8
308,2895.2
309,2904.6
310,2914
311,2923.4
312,2932.8
313,2942.2
314,2951.6
315,2961
316,2970.4
317,2979.8
318,2989.2
319,2998.6
320,3008
321,3017.4
322,3026.8
323,3036.2
324,3045.6
325,3055
326,3064.4
327,3073.8
328,3083.2
329,3092.6
330,3102
331,3111.4
332,3120.8
333,3130.2
334,3139.6
335,3149
336,3158.4
337,3167.8
338,3177.2
339,3186.6
340,3196
341,3205.4
342,3214.8
343,3224.2
344,3233.6
345,3243
346,3252.4
347,3261.8
348,3271.2
349,3280.6
350,3290
351,3299.4
352,3308.8
353,3318.2
354,3327.6
355,3337
356,3346.4
357,3355.8
358,3365.2
359,3374.6
360,3384
361,3393.4
362,3402.8
363,3412.2
364,3421.6
365,3431
366,3440.4
367,3449.8
368,3459.2
369,3468.6
370,3478
371,3487.4
372,3496.8
373,3506.2
374,3515.6
375,3525
376,3534.4
377,3543.8
378,3553.2
379,3562.6
380,3572
381,3581.4
382,3590.8
383,3600.2
384,3609.6
385,3619
386,3628.4
387,3637.8
388,3647.2
389,3656.6
390,3666
391,3675.4
392,3684.8
393,3694.2
394,3703.6
395,3713
396,3722.4
397,3731.8
398,3741.2
399,3750.6
400,3760
401,3769.4
402,3778.8
403,3788.2
404,3797.6
405,3807
406,3816.4
407,3825.8
408,3835.2
409,3844.6
410,3854
411,3863.4
412,3872.8
413,3882.2
414,3891.6
415,3901
416,3910.4
417,3919.8
418,3929.2
419,3938.6
420,3948
421,3957.4
422,3966.8
423,3976.2
424,3985.6
425,3995
426,4004.4
427,4013.8
428,4023.2
429,4032.6
430,4042
431,4051.4
432,4060.8
433,4070.2
434,4079.6
435,4089
436,4098.4
437,4107.8
438,4117.2
439,4126.6
440,4136
441,4145.4
442,4154.8
443,4164.2
444,4173.6
445,4183
446,4192.4
447,4201.8
448,4211.2
449,4220.6
450,4230
451,4239.4
452,4248.8
453,4258.2
454,4267.6
455,4277
456,4286.4
457,4295.8
458,4305.2
459,4314.6
460,4324
461,4333.4
462,4342.8
463,4352.2
464,4361.6
465,4371
466,4380.4
467,4389.8
468,4399.2
469,4408.6
470,4418
471,4427.4
472,4436.8
473,4446.2
474,4455.6
475,4465
476,4474.4
477,4483.8
478,4493.2
479,4502.6
480,4512
481,4521.4
482,4530.8
483,4540.2
484,4549.6
485,4559
486,4568.4
487,4577.8
488,4587.2
489,4596.6
490,4606
491,4615.4
492,4624.8
493,4634.2
494,4643.6
495,4653
496,4662.4
497,4671.8
498,4681.2
499,4690.6
500,4700
501,4709.4
502,4718.8
503,4728.2
504,4737.6
505,4747
506,4756.4
507,4765.8
508,4775.2
509,4784.6
510,4794
511,4803.4
512,4812.8
513,4822.2
514,4831.6
515,4841
516,4850.4
517,4859.8
518,4869.2
519,4878.6
520,4888
521,4897.4
522,4906.8
523,4916.2
524,4925.6
525,4935
526,4944.4
527,4953.8
528,4963.2
529,4972.6
530,4982
531,4991.4
532,5000.8
533,5010.2
534,5019.6
535,5029
536,5038.4
537,5047.8
538,5057.2
539,5066.6
540,5076
541,5085.4
542,5094.8
543,5104.2
544,5113.6
545,5123
546,5132.4
547,5141.8
548,5151.2
549,5160.6
550,5170
551,5179.4
552,5188.8
553,5198.2
554,5207.6
555,5217
556,5226.4
557,5235.8
558,5245.2
559,5254.6
560,5264
561,5273.4
562,5282.8
563,5292.2
564,5301.6
565,5311
566,5320.4
567,5329.8
568,5339.2
569,5348.6
570,5358
571,5367.4
572,5376.8
573,5386.2
574,5395.6
575,5405
576,5414.4
577,5423.8
578,5433.2
579,5442.6
580,5452
581,5461.4
582,5470.8
583,5480.2
584,5489.6
585,5499
586,5508.4
587,5517.8
588,5527.2
589,5536.6
590,5546
591,5555.4
592,5564.8
593,5574.2
594,5583.6
595,5593
596,5602.4
597,5611.8
598,5621.2
599,5630.6
600,5640
601,5649.4
602,5658.8
603,5668.2
604,5677.6
605,5687
606,5696.4
607,5705.8
608,5715.2
609,5724.6
610,5734
611,5743.4
612,5752.8
613,5762.2
614,5771.6
615,5781
616,5790.4
617,5799.8
618,5809.2
619,5818.6
620,5828
621,5837.4
622,5846.8
623,5856.2
624,5865.6
625,5875
626,5884.4
627,5893.8
628,5903.2
629,5912.6
630,5922
631,5931.4
632,5940.8
633,5950.2
634,5959.6
635,5969
636,5978.4
637,5987.8
638,5997.2
639,6006.6
640,6016
641,6025.4
642,6034.8
643,6044.2
644,6053.6
645,6063
646,6072.4
647,6081.8
648,6091.2
649,6100.6
650,6110
651,6119.4
652,6128.8
653,6138.2
654,6147.6
655,6157
656,6166.4
657,6175.8
658,6185.2
659,6194.6
660,6204
661,6213.4
662,6222.8
663,6232.2
664,6241.6
665,6251
666,6260.4
667,6269.8
668,6279.2
669,6288.6
670,6298
671,6307.4
672,6316.8
673,6326.2
674,6335.6
675,6345
676,6354.4
677,6363.8
678,6373.2
679,6382.6
680,6392
681,6401.4
682,6410.8
683,6420.2
684,6429.6
685,6439
686,6448.4
687,6457.8
688,6467.2
689,6476.6
690,6486
691,6495.4
692,6504.8
693,6514.2
694,6523.6
695,6533
696,6542.4
697,6551.8
698,6561.2
699,6570.6
700,6580
701,6589.4
702,6598.8
703,6608.2
704,6617.6
705,6627
706,6636.4
707,6645.8
708,6655.2
709,6664.6
710,6674
711,6683.4
712,6692.8
713,6702.2
714,6711.6
715,6721
716,6730.4
717,6739.8
718,6749.2
719,6758.6
720,6768
721,6777.4
722,6786.8
723,6796.2
724,6805.6
725,6815
726,6824.4
727,6833.8
728,6843.2
729,6852.6
730,6862
731,6871.4
732,6880.8
733,6890.2
734,6899.6
735,6909
736,6918.4
737,6927.8
738,6937.2
739,6946.6
740,6956
741,6965.4
742,6974.8
743,6984.2
744,6993.6
745,7003
746,7012.4
747,7021.8
748,7031.2
749,7040.6
750,7050
751,7059.4
752,7068.8
753,7078.2
754,7087.6
755,7097
756,7106.4
757,7115.8
758,7125.2
759,7134.6
760,7144
761,7153.4
762,7162.8
763,7172.2
764,7181.6
765,7191
766,7200.4
767,7209.8
768,7219.2
769,7228.6
770,7238
771,7247.4
772,7256.8
773,7266.2
774,7275.6
775,7285
776,7294.4
777,7303.8
778,7313.2
779,7322.6
780,7332
781,7341.4
782,7350.8
783,7360.2
784,7369.6
785,7379
786,7388.4
787,7397.8
788,7407.2
789,7416.6
790,7426
791,7435.4
792,7444.8
793,7454.2
794,7463.6
795,7473
796,7482.4
797,7491.8
798,7501.2
799,7510.6
800,7520
801,7529.4
802,7538.8
803,7548.2
804,7557.6
805,7567
806,7576.4
807,7585.8
808,7595.2
809,7604.6
810,7614
811,7623.4
812,7632.8
813,7642.2
814,7651.6
815,7661
816,7670.4
817,7679.8
818,7689.2
819,7698.6
820,7708
821,7717.4
822,7726.8
823,7736.2
824,7745.6
825,7755
826,7764.4
827,7773.8
828,7783.2
829,7792.6
830,7802
831,7811.4
832,7820.8
