Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,199.33,983.16
126,5,1,199.33,1010.82
142,5,1,199.33,1032.12
158,5,1,199.33,1053.49
174,5,1,199.33,1074.75
190,5,1,199.33,1102.46
206,5,1,199.33,1123.75
222,5,1,199.33,1145.13
238,5,1,199.33,1166.38
254,5,1,199.33,1193.83
270,5,1,199.33,1215.11
286,5,1,199.33,1236.51
302,5,1,199.33,1257.76
110,6,1,239.20,1130.85
126,6,1,239.20,1160.99
142,6,1,239.20,1183.53
158,6,1,239.20,1206.14
174,6,1,239.20,1228.65
190,6,1,239.20,1258.85
206,6,1,239.20,1281.36
222,6,1,239.20,1303.98
238,6,1,239.20,1326.47
254,6,1,239.20,1356.39
270,6,1,239.20,1378.92
286,6,1,239.20,1401.55
302,6,1,239.20,1424.04
110,7,1,279.07,1278.54
126,7,1,279.07,1311.16
142,7,1,279.07,1334.94
158,7,1,279.07,1358.79
174,7,1,279.07,1382.53
190,7,1,279.07,1415.22
206,7,1,279.07,1438.96
222,7,1,279.07,1462.82
238,7,1,279.07,1486.56
254,7,1,279.07,1518.95
270,7,1,279.07,1542.73
286,7,1,279.07,1566.58
302,7,1,279.07,1590.32
110,5,2,398.66,1182.50
126,5,2,398.66,1210.16
142,5,2,398.66,1231.46
158,5,2,398.66,1252.83
174,5,2,398.66,1274.09
190,5,2,398.66,1301.83
206,5,2,398.66,1323.09
222,5,2,398.66,1344.47
238,5,2,398.66,1365.72
254,5,2,398.66,1393.17
270,5,2,398.66,1414.45
286,5,2,398.66,1435.85
302,5,2,398.66,1457.10
110,6,2,478.40,1370.05
126,6,2,478.40,1400.19
142,6,2,478.40,1422.73
158,6,2,478.40,1445.33
174,6,2,478.40,1467.85
190,6,2,478.40,1498.05
206,6,2,478.40,1520.55
222,6,2,478.40,1543.18
238,6,2,478.40,1565.67
254,6,2,478.40,1595.59
270,6,2,478.40,1618.12
286,6,2,478.40,1640.75
302,6,2,478.40,1663.24
110,7,2,558.14,1557.60
126,7,2,558.14,1590.23
142,7,2,558.14,1614.00
158,7,2,558.14,1637.85
174,7,2,558.14,1661.60
190,7,2,558.14,1694.29
206,7,2,558.14,1718.03
222,7,2,558.14,1741.89
238,7,2,558.14,1765.63
254,7,2,558.14,1798.02
270,7,2,558.14,1821.80
286,7,2,558.14,1845.65
302,7,2,558.14,1869.39
110,5,3,597.99,1381.83
126,5,3,597.99,1409.49
142,5,3,597.99,1430.79
158,5,3,597.99,1452.19
174,5,3,597.99,1473.42
190,5,3,597.99,1501.19
206,5,3,597.99,1522.42
222,5,3,597.99,1543.80
238,5,3,597.99,1565.05
254,5,3,597.99,1592.50
270,5,3,597.99,1613.78
286,5,3,597.99,1635.18
302,5,3,597.99,1656.43
110,6,3,717.60,1609.25
126,6,3,717.60,1639.30
142,6,3,717.60,1661.93
158,6,3,717.60,1684.53
174,6,3,717.60,1707.05
190,6,3,717.60,1737.25
206,6,3,717.60,1759.75
222,6,3,717.60,1782.38
238,6,3,717.60,1804.87
254,6,3,717.60,1834.79
270,6,3,717.60,1857.32
286,6,3,717.60,1879.95
302,6,3,717.60,1902.44
110,7,3,837.21,1836.67
126,7,3,837.21,1869.30
142,7,3,837.21,1893.07
158,7,3,837.21,1916.92
174,7,3,837.21,1940.67
190,7,3,837.21,1973.35
206,7,3,837.21,1997.10
222,7,3,837.21,2020.95
238,7,3,837.21,2044.60
254,7,3,837.21,2077.09
270,7,3,837.21,2100.86
286,7,3,837.21,2124.72
302,7,3,837.21,2148.46
