Machines,Total (hrs/yr)
1,48.3
2,96.6
3,144.9
4,193.2
5,241.5
6,289.8
7,338.1
8,386.4
9,434.7
10,483
11,531.3
12,579.6
13,627.9
14,676.2
15,724.5
16,772.8
17,821.1
18,869.4
19,917.7
20,966
21,1014.3
22,1062.6
23,1110.9
24,1159.2
25,1207.5
26,1255.8
27,1304.1
28,1352.4
29,1400.7
30,1449
31,1497.3
32,1545.6
33,1593.9
34,1642.2
35,1690.5
36,1738.8
37,1787.1
38,1835.4
39,1883.7
40,1932
41,1980.3
42,2028.6
43,2076.9
44,2125.2
45,2173.5
46,2221.8
47,2270.1
48,2318.4
49,2366.7
50,2415
51,2463.3
52,2511.6
53,2559.9
54,2608.2
55,2656.5
56,2704.8
57,2753.1
58,2801.4
59,2849.7
60,2898
61,2946.3
62,2994.6
63,3042.9
64,3091.2
65,3139.5
66,3187.8
67,3236.1
68,3284.4
69,3332.7
70,3381
71,3429.3
72,3477.6
73,3525.9
74,3574.2
75,3622.5
76,3670.8
77,3719.1
78,3767.4
79,3815.7
80,3864
81,3912.3
82,3960.6
83,4008.9
84,4057.2
85,4105.5
86,4153.8
87,4202.1
88,4250.4
89,4298.7
90,4347
91,4395.3
92,4443.6
93,4491.9
94,4540.2
95,4588.5
96,4636.8
97,4685.1
98,4733.4
99,4781.7
100,4830
101,4878.3
102,4926.6
103,4974.9
104,5023.2
105,5071.5
106,5119.8
107,5168.1
108,5216.4
109,5264.7
110,5313
111,5361.3
112,5409.6
113,5457.9
114,5506.2
115,5554.5
116,5602.8
117,5651.1
118,5699.4
119,5747.7
120,5796
121,5844.3
122,5892.6
123,5940.9
124,5989.2
125,6037.5
126,6085.8
127,6134.1
128,6182.4
129,6230.7
130,6279
131,6327.3
132,6375.6
133,6423.9
134,6472.2
135,6520.5
136,6568.8
137,6617.1
138,6665.4
139,6713.7
140,6762
141,6810.3
142,6858.6
143,6906.9
144,6955.2
145,7003.5
146,7051.8
147,7100.1
148,7148.4
149,7196.7
150,7245
151,7293.3
152,7341.6
153,7389.9
154,7438.2
155,7486.5
156,7534.8
157,7583.1
158,7631.4
159,7679.7
160,7728
161,7776.3
162,7824.6
163,7872.9
164,7921.2
165,7969.5
166,8017.8
167,8066.1
168,8114.4
169,8162.7
170,8211
171,8259.3
172,8307.6
173,8355.9
174,8404.2
175,8452.5
176,8500.8
177,8549.1
178,8597.4
179,8645.7
180,8694
181,8742.3
182,8790.6
183,8838.9
184,8887.2
185,8935.5
186,8983.8
187,9032.1
188,9080.4
189,9128.7
190,9177
191,9225.3
192,9273.6
193,9321.9
194,9370.2
195,9418.5
196,9466.8
197,9515.1
198,9563.4
199,9611.7
200,9660
201,9708.3
202,9756.6
203,9804.9
204,9853.2
205,9901.5
206,9949.8
207,9998.1
208,10046.4
209,10094.7
210,10143
211,10191.3
212,10239.6
213,10287.9
214,10336.2
215,10384.5
216,10432.8
217,10481.1
218,10529.4
219,10577.7
220,10626
221,10674.3
222,10722.6
223,10770.9
224,10819.2
225,10867.5
226,10915.8
227,10964.1
228,11012.4
229,11060.7
230,11109
231,11157.3
232,11205.6
233,11253.9
234,11302.2
235,11350.5
236,11398.8
237,11447.1
238,11495.4
239,11543.7
240,11592
241,11640.3
242,11688.6
243,11736.9
244,11785.2
245,11833.5
246,11881.8
247,11930.1
248,11978.4
249,12026.7
250,12075
251,12123.3
252,12171.6
253,12219.9
254,12268.2
255,12316.5
256,12364.8
257,12413.1
258,12461.4
259,12509.7
260,12558
261,12606.3
262,12654.6
263,12702.9
264,12751.2
265,12799.5
266,12847.8
267,12896.1
268,12944.4
269,12992.7
270,13041
271,13089.3
272,13137.6
273,13185.9
274,13234.2
275,13282.5
276,13330.8
277,13379.1
278,13427.4
279,13475.7
280,13524
281,13572.3
282,13620.6
283,13668.9
284,13717.2
285,13765.5
286,13813.8
287,13862.1
288,13910.4
289,13958.7
290,14007
291,14055.3
292,14103.6
293,14151.9
294,14200.2
295,14248.5
296,14296.8
297,14345.1
298,14393.4
299,14441.7
300,14490
301,14538.3
302,14586.6
303,14634.9
304,14683.2
305,14731.5
306,14779.8
307,14828.1
308,14876.4
309,14924.7
310,14973
311,15021.3
312,15069.6
313,15117.9
314,15166.2
315,15214.5
316,15262.8
317,15311.1
318,15359.4
319,15407.7
320,15456
321,15504.3
322,15552.6
323,15600.9
324,15649.2
325,15697.5
326,15745.8
327,15794.1
328,15842.4
329,15890.7
330,15939
331,15987.3
332,16035.6
333,16083.9
334,16132.2
335,16180.5
336,16228.8
337,16277.1
338,16325.4
339,16373.7
340,16422
341,16470.3
342,16518.6
343,16566.9
344,16615.2
345,16663.5
346,16711.8
347,16760.1
348,16808.4
349,16856.7
350,16905
351,16953.3
352,17001.6
353,17049.9
354,17098.2
355,17146.5
356,17194.8
357,17243.1
358,17291.4
359,17339.7
360,17388
361,17436.3
362,17484.6
363,17532.9
364,17581.2
365,17629.5
366,17677.8
367,17726.1
368,17774.4
369,17822.7
370,17871
371,17919.3
372,17967.6
373,18015.9
374,18064.2
375,18112.5
376,18160.8
377,18209.1
378,18257.4
379,18305.7
380,18354
381,18402.3
382,18450.6
383,18498.9
384,18547.2
385,18595.5
386,18643.8
387,18692.1
388,18740.4
389,18788.7
390,18837
391,18885.3
392,18933.6
393,18981.9
394,19030.2
395,19078.5
396,19126.8
397,19175.1
398,19223.4
399,19271.7
400,19320
401,19368.3
402,19416.6
403,19464.9
404,19513.2
405,19561.5
406,19609.8
407,19658.1
408,19706.4
409,19754.7
410,19803
411,19851.3
412,19899.6
413,19947.9
414,19996.2
415,20044.5
