Machines,Total (hrs/yr)
1,4.961
2,9.922
3,14.883
4,19.844
5,24.805
6,29.766
7,34.727
8,39.688
9,44.649
10,49.61
11,54.571
12,59.532
13,64.493
14,69.454
15,74.415
16,79.376
17,84.337
18,89.298
19,94.259
20,99.22
21,104.181
22,109.142
23,114.103
24,119.064
25,124.025
26,128.986
27,133.947
28,138.908
29,143.869
30,148.83
31,153.791
32,158.752
33,163.713
34,168.674
35,173.635
36,178.596
37,183.557
38,188.518
39,193.479
40,198.44
41,203.401
42,208.362
43,213.323
44,218.284
45,223.245
46,228.206
47,233.167
48,238.128
49,243.089
50,248.05
51,253.011
52,257.972
53,262.933
54,267.894
55,272.855
56,277.816
57,282.777
58,287.738
59,292.699
60,297.66
61,302.621
62,307.582
63,312.543
64,317.504
65,322.465
66,327.426
67,332.387
68,337.348
69,342.309
70,347.27
71,352.231
72,357.192
73,362.153
74,367.114
75,372.075
76,377.036
77,381.997
78,386.958
79,391.919
80,396.88
81,401.841
82,406.802
83,411.763
84,416.724
85,421.685
86,426.646
87,431.607
88,436.568
89,441.529
90,446.49
91,451.451
92,456.412
93,461.373
94,466.334
95,471.295
96,476.256
97,481.217
98,486.178
99,491.139
100,496.1
101,501.061
102,506.022
103,510.983
104,515.944
105,520.905
106,525.866
107,530.827
108,535.788
109,540.749
110,545.71
111,550.671
112,555.632
113,560.593
114,565.554
115,570.515
116,575.476
117,580.437
118,585.398
119,590.359
120,595.32
121,600.281
122,605.242
123,610.203
124,615.164
125,620.125
126,625.086
127,630.047
128,635.008
129,639.969
130,644.93
131,649.891
132,654.852
133,659.813
134,664.774
135,669.735
136,674.696
137,679.657
138,684.618
139,689.579
140,694.54
141,699.501
142,704.462
143,709.423
144,714.384
145,719.345
146,724.306
147,729.267
148,734.228
149,739.189
150,744.15
151,749.111
152,754.072
153,759.033
154,763.994
155,768.955
156,773.916
157,778.877
158,783.838
159,788.799
160,793.76
161,798.721
162,803.682
163,808.643
164,813.604
165,818.565
166,823.526
167,828.487
168,833.448
169,838.409
170,843.37
171,848.331
172,853.292
173,858.253
174,863.214
175,868.175
176,873.136
177,878.097
178,883.058
179,888.019
180,892.98
181,897.941
182,902.902
183,907.863
184,912.824
185,917.785
186,922.746
187,927.707
188,932.668
189,937.629
190,942.59
191,947.551
192,952.512
193,957.473
194,962.434
195,967.395
196,972.356
197,977.317
198,982.278
199,987.239
200,992.2
201,997.161
202,1002.122
203,1007.083
204,1012.044
205,1017.005
206,1021.966
207,1026.927
208,1031.888
209,1036.849
210,1041.81
211,1046.771
212,1051.732
213,1056.693
214,1061.654
215,1066.615
216,1071.576
217,1076.537
218,1081.498
219,1086.459
220,1091.42
221,1096.381
222,1101.342
223,1106.303
224,1111.264
225,1116.225
226,1121.186
227,1126.147
228,1131.108
229,1136.069
230,1141.03
231,1145.991
232,1150.952
233,1155.913
234,1160.874
235,1165.835
236,1170.796
237,1175.757
238,1180.718
239,1185.679
240,1190.64
241,1195.601
242,1200.562
243,1205.523
244,1210.484
245,1215.445
246,1220.406
247,1225.367
248,1230.328
249,1235.289
250,1240.25
251,1245.211
252,1250.172
253,1255.133
254,1260.094
255,1265.055
256,1270.016
257,1274.977
258,1279.938
259,1284.899
260,1289.86
261,1294.821
262,1299.782
263,1304.743
264,1309.704
265,1314.665
266,1319.626
267,1324.587
268,1329.548
269,1334.509
270,1339.47
271,1344.431
272,1349.392
273,1354.353
274,1359.314
275,1364.275
276,1369.236
277,1374.197
278,1379.158
279,1384.119
280,1389.08
281,1394.041
282,1399.002
283,1403.963
284,1408.924
285,1413.885
286,1418.846
287,1423.807
288,1428.768
289,1433.729
290,1438.69
291,1443.651
292,1448.612
293,1453.573
294,1458.534
295,1463.495
296,1468.456
297,1473.417
298,1478.378
299,1483.339
300,1488.3
301,1493.261
302,1498.222
303,1503.183
304,1508.144
305,1513.105
306,1518.066
307,1523.027
308,1527.988
309,1532.949
310,1537.91
311,1542.871
312,1547.832
313,1552.793
314,1557.754
315,1562.715
316,1567.676
317,1572.637
318,1577.598
319,1582.559
320,1587.52
321,1592.481
322,1597.442
323,1602.403
324,1607.364
325,1612.325
326,1617.286
327,1622.247
328,1627.208
329,1632.169
330,1637.13
331,1642.091
332,1647.052
333,1652.013
334,1656.974
335,1661.935
336,1666.896
337,1671.857
338,1676.818
339,1681.779
340,1686.74
341,1691.701
342,1696.662
343,1701.623
344,1706.584
345,1711.545
346,1716.506
347,1721.467
348,1726.428
349,1731.389
350,1736.35
351,1741.311
352,1746.272
353,1751.233
354,1756.194
355,1761.155
356,1766.116
357,1771.077
358,1776.038
359,1780.999
360,1785.96
361,1790.921
362,1795.882
363,1800.843
364,1805.804
365,1810.765
366,1815.726
367,1820.687
368,1825.648
369,1830.609
370,1835.57
371,1840.531
372,1845.492
373,1850.453
374,1855.414
375,1860.375
376,1865.336
377,1870.297
378,1875.258
379,1880.219
380,1885.18
381,1890.141
382,1895.102
383,1900.063
384,1905.024
385,1909.985
386,1914.946
387,1919.907
388,1924.868
389,1929.829
390,1934.79
391,1939.751
392,1944.712
393,1949.673
394,1954.634
395,1959.595
396,1964.556
397,1969.517
398,1974.478
399,1979.439
400,1984.4
401,1989.361
402,1994.322
403,1999.283
404,2004.244
405,2009.205
406,2014.166
407,2019.127
408,2024.088
409,2029.049
