Machines,Total (hrs/yr)
1,22.45
2,44.9
3,67.35
4,89.8
5,112.25
6,134.7
7,157.15
8,179.6
9,202.05
10,224.5
11,246.95
12,269.4
13,291.85
14,314.3
15,336.75
16,359.2
17,381.65
18,404.1
19,426.55
20,449
21,471.45
22,493.9
23,516.35
24,538.8
25,561.25
26,583.7
27,606.15
28,628.6
29,651.05
30,673.5
31,695.95
32,718.4
33,740.85
34,763.3
35,785.75
36,808.2
37,830.65
38,853.1
39,875.55
40,898
41,920.45
42,942.9
43,965.35
44,987.8
45,1010.25
46,1032.7
47,1055.15
48,1077.6
49,1100.05
50,1122.5
51,1144.95
52,1167.4
53,1189.85
54,1212.3
55,1234.75
56,1257.2
57,1279.65
58,1302.1
59,1324.55
60,1347
61,1369.45
62,1391.9
63,1414.35
64,1436.8
65,1459.25
66,1481.7
67,1504.15
68,1526.6
69,1549.05
70,1571.5
71,1593.95
72,1616.4
73,1638.85
74,1661.3
75,1683.75
76,1706.2
77,1728.65
78,1751.1
79,1773.55
80,1796
81,1818.45
82,1840.9
83,1863.35
84,1885.8
85,1908.25
86,1930.7
87,1953.15
88,1975.6
89,1998.05
90,2020.5
91,2042.95
92,2065.4
93,2087.85
94,2110.3
95,2132.75
96,2155.2
97,2177.65
98,2200.1
99,2222.55
100,2245
101,2267.45
102,2289.9
103,2312.35
104,2334.8
105,2357.25
106,2379.7
107,2402.15
108,2424.6
109,2447.05
110,2469.5
111,2491.95
112,2514.4
113,2536.85
114,2559.3
115,2581.75
116,2604.2
117,2626.65
118,2649.1
119,2671.55
120,2694
121,2716.45
122,2738.9
123,2761.35
124,2783.8
125,2806.25
126,2828.7
127,2851.15
128,2873.6
129,2896.05
130,2918.5
131,2940.95
132,2963.4
133,2985.85
134,3008.3
135,3030.75
136,3053.2
137,3075.65
138,3098.1
139,3120.55
140,3143
141,3165.45
142,3187.9
143,3210.35
144,3232.8
145,3255.25
146,3277.7
147,3300.15
148,3322.6
149,3345.05
150,3367.5
151,3389.95
152,3412.4
153,3434.85
154,3457.3
155,3479.75
156,3502.2
157,3524.65
158,3547.1
159,3569.55
160,3592
161,3614.45
162,3636.9
163,3659.35
164,3681.8
165,3704.25
166,3726.7
167,3749.15
168,3771.6
169,3794.05
170,3816.5
171,3838.95
172,3861.4
173,3883.85
174,3906.3
175,3928.75
176,3951.2
177,3973.65
178,3996.1
179,4018.55
180,4041
181,4063.45
182,4085.9
183,4108.35
184,4130.8
185,4153.25
186,4175.7
187,4198.15
188,4220.6
189,4243.05
190,4265.5
191,4287.95
192,4310.4
193,4332.85
194,4355.3
195,4377.75
196,4400.2
197,4422.65
198,4445.1
199,4467.55
200,4490
201,4512.45
202,4534.9
203,4557.35
204,4579.8
205,4602.25
206,4624.7
207,4647.15
208,4669.6
209,4692.05
210,4714.5
211,4736.95
212,4759.4
213,4781.85
214,4804.3
215,4826.75
216,4849.2
217,4871.65
218,4894.1
219,4916.55
220,4939
221,4961.45
222,4983.9
223,5006.35
224,5028.8
225,5051.25
226,5073.7
227,5096.15
228,5118.6
229,5141.05
230,5163.5
231,5185.95
232,5208.4
233,5230.85
234,5253.3
235,5275.75
236,5298.2
237,5320.65
238,5343.1
239,5365.55
240,5388
241,5410.45
242,5432.9
243,5455.35
244,5477.8
245,5500.25
246,5522.7
247,5545.15
248,5567.6
249,5590.05
250,5612.5
251,5634.95
252,5657.4
253,5679.85
254,5702.3
255,5724.75
256,5747.2
257,5769.65
258,5792.1
259,5814.55
260,5837
261,5859.45
262,5881.9
263,5904.35
264,5926.8
265,5949.25
266,5971.7
267,5994.15
268,6016.6
269,6039.05
270,6061.5
271,6083.95
272,6106.4
273,6128.85
274,6151.3
275,6173.75
276,6196.2
277,6218.65
278,6241.1
279,6263.55
280,6286
281,6308.45
282,6330.9
283,6353.35
284,6375.8
285,6398.25
286,6420.7
287,6443.15
288,6465.6
289,6488.05
290,6510.5
291,6532.95
292,6555.4
293,6577.85
294,6600.3
295,6622.75
296,6645.2
297,6667.65
298,6690.1
299,6712.55
300,6735
301,6757.45
302,6779.9
303,6802.35
304,6824.8
305,6847.25
306,6869.7
307,6892.15
308,6914.6
309,6937.05
310,6959.5
311,6981.95
312,7004.4
313,7026.85
314,7049.3
315,7071.75
316,7094.2
317,7116.65
318,7139.1
319,7161.55
320,7184
321,7206.45
322,7228.9
323,7251.35
324,7273.8
325,7296.25
326,7318.7
327,7341.15
328,7363.6
329,7386.05
330,7408.5
331,7430.95
332,7453.4
333,7475.85
334,7498.3
335,7520.75
336,7543.2
337,7565.65
338,7588.1
339,7610.55
340,7633
341,7655.45
342,7677.9
343,7700.35
344,7722.8
345,7745.25
346,7767.7
347,7790.15
348,7812.6
349,7835.05
350,7857.5
351,7879.95
352,7902.4
353,7924.85
354,7947.3
355,7969.75
356,7992.2
357,8014.65
358,8037.1
359,8059.55
360,8082
361,8104.45
362,8126.9
363,8149.35
364,8171.8
365,8194.25
366,8216.7
367,8239.15
368,8261.6
369,8284.05
370,8306.5
371,8328.95
372,8351.4
373,8373.85
374,8396.3
375,8418.75
376,8441.2
377,8463.65
378,8486.1
379,8508.55
380,8531
381,8553.45
382,8575.9
383,8598.35
384,8620.8
385,8643.25
386,8665.7
387,8688.15
388,8710.6
389,8733.05
390,8755.5
391,8777.95
392,8800.4
393,8822.85
394,8845.3
395,8867.75
396,8890.2
397,8912.65
398,8935.1
399,8957.55
400,8980
401,9002.45
402,9024.9
403,9047.35
404,9069.8
405,9092.25
406,9114.7
407,9137.15
408,9159.6
409,9182.05
410,9204.5
411,9226.95
412,9249.4
413,9271.85
414,9294.3
415,9316.75
416,9339.2
417,9361.65
418,9384.1
419,9406.55
420,9429
421,9451.45
422,9473.9
423,9496.35
424,9518.8
425,9541.25
426,9563.7
427,9586.15
428,9608.6
429,9631.05
430,9653.5
431,9675.95
432,9698.4
433,9720.85
434,9743.3
435,9765.75
436,9788.2
437,9810.65
438,9833.1
439,9855.55
440,9878
441,9900.45
442,9922.9
443,9945.35
444,9967.8
445,9990.25
446,10012.7
447,10035.15
448,10057.6
449,10080.05
450,10102.5
451,10124.95
452,10147.4
453,10169.85
454,10192.3
455,10214.75
456,10237.2
457,10259.65
458,10282.1
459,10304.55
460,10327
461,10349.45
462,10371.9
463,10394.35
464,10416.8
465,10439.25
466,10461.7
467,10484.15
468,10506.6
469,10529.05
470,10551.5
471,10573.95
472,10596.4
473,10618.85
474,10641.3
475,10663.75
476,10686.2
477,10708.65
478,10731.1
479,10753.55
480,10776
481,10798.45
482,10820.9
483,10843.35
484,10865.8
485,10888.25
486,10910.7
487,10933.15
488,10955.6
489,10978.05
490,11000.5
491,11022.95
492,11045.4
493,11067.85
494,11090.3
495,11112.75
496,11135.2
497,11157.65
498,11180.1
499,11202.55
500,11225
501,11247.45
502,11269.9
503,11292.35
504,11314.8
505,11337.25
506,11359.7
507,11382.15
508,11404.6
509,11427.05
510,11449.5
511,11471.95
512,11494.4
513,11516.85
514,11539.3
515,11561.75
516,11584.2
517,11606.65
518,11629.1
519,11651.55
520,11674
521,11696.45
522,11718.9
523,11741.35
524,11763.8
525,11786.25
526,11808.7
527,11831.15
528,11853.6
529,11876.05
530,11898.5
531,11920.95
532,11943.4
533,11965.85
534,11988.3
535,12010.75
536,12033.2
537,12055.65
538,12078.1
539,12100.55
540,12123
541,12145.45
542,12167.9
543,12190.35
544,12212.8
545,12235.25
546,12257.7
547,12280.15
548,12302.6
549,12325.05
550,12347.5
551,12369.95
552,12392.4
553,12414.85
554,12437.3
555,12459.75
556,12482.2
557,12504.65
558,12527.1
559,12549.55
560,12572
561,12594.45
562,12616.9
563,12639.35
564,12661.8
565,12684.25
566,12706.7
567,12729.15
568,12751.6
569,12774.05
570,12796.5
571,12818.95
572,12841.4
573,12863.85
574,12886.3
575,12908.75
576,12931.2
577,12953.65
578,12976.1
579,12998.55
580,13021
581,13043.45
582,13065.9
583,13088.35
584,13110.8
585,13133.25
586,13155.7
587,13178.15
588,13200.6
589,13223.05
590,13245.5
591,13267.95
592,13290.4
593,13312.85
594,13335.3
595,13357.75
596,13380.2
597,13402.65
598,13425.1
599,13447.55
600,13470
601,13492.45
602,13514.9
603,13537.35
604,13559.8
605,13582.25
606,13604.7
607,13627.15
608,13649.6
609,13672.05
610,13694.5
611,13716.95
612,13739.4
613,13761.85
614,13784.3
615,13806.75
616,13829.2
617,13851.65
618,13874.1
619,13896.55
620,13919
621,13941.45
622,13963.9
623,13986.35
624,14008.8
625,14031.25
626,14053.7
627,14076.15
628,14098.6
629,14121.05
630,14143.5
631,14165.95
632,14188.4
633,14210.85
634,14233.3
635,14255.75
636,14278.2
637,14300.65
638,14323.1
639,14345.55
640,14368
641,14390.45
642,14412.9
643,14435.35
644,14457.8
645,14480.25
646,14502.7
647,14525.15
648,14547.6
649,14570.05
