Machines,Total (hrs/yr)
1,20.3
2,40.6
3,60.9
4,81.2
5,101.5
6,121.8
7,142.1
8,162.4
9,182.7
10,203
11,223.3
12,243.6
13,263.9
14,284.2
15,304.5
16,324.8
17,345.1
18,365.4
19,385.7
20,406
21,426.3
22,446.6
23,466.9
24,487.2
25,507.5
26,527.8
27,548.1
28,568.4
29,588.7
30,609
31,629.3
32,649.6
33,669.9
34,690.2
35,710.5
36,730.8
37,751.1
38,771.4
39,791.7
40,812
41,832.3
42,852.6
43,872.9
44,893.2
45,913.5
46,933.8
47,954.1
48,974.4
49,994.7
50,1015
51,1035.3
52,1055.6
53,1075.9
54,1096.2
55,1116.5
56,1136.8
57,1157.1
58,1177.4
59,1197.7
60,1218
61,1238.3
62,1258.6
63,1278.9
64,1299.2
65,1319.5
66,1339.8
67,1360.1
68,1380.4
69,1400.7
70,1421
71,1441.3
72,1461.6
73,1481.9
74,1502.2
75,1522.5
76,1542.8
77,1563.1
78,1583.4
79,1603.7
80,1624
81,1644.3
82,1664.6
83,1684.9
84,1705.2
85,1725.5
86,1745.8
87,1766.1
88,1786.4
89,1806.7
90,1827
91,1847.3
92,1867.6
93,1887.9
94,1908.2
95,1928.5
96,1948.8
97,1969.1
98,1989.4
99,2009.7
100,2030
101,2050.3
102,2070.6
103,2090.9
104,2111.2
105,2131.5
106,2151.8
107,2172.1
108,2192.4
109,2212.7
110,2233
111,2253.3
112,2273.6
113,2293.9
114,2314.2
115,2334.5
116,2354.8
117,2375.1
118,2395.4
119,2415.7
120,2436
121,2456.3
122,2476.6
123,2496.9
124,2517.2
125,2537.5
126,2557.8
127,2578.1
128,2598.4
129,2618.7
130,2639
131,2659.3
132,2679.6
133,2699.9
134,2720.2
135,2740.5
136,2760.8
137,2781.1
138,2801.4
139,2821.7
140,2842
141,2862.3
142,2882.6
143,2902.9
144,2923.2
145,2943.5
146,2963.8
147,2984.1
148,3004.4
149,3024.7
150,3045
151,3065.3
152,3085.6
153,3105.9
154,3126.2
155,3146.5
156,3166.8
157,3187.1
158,3207.4
159,3227.7
160,3248
161,3268.3
162,3288.6
163,3308.9
164,3329.2
165,3349.5
166,3369.8
167,3390.1
168,3410.4
169,3430.7
170,3451
171,3471.3
172,3491.6
173,3511.9
174,3532.2
175,3552.5
