Machines,Total (hrs/yr)
1,16.45
2,32.9
3,49.35
4,65.8
5,82.25
6,98.7
7,115.15
8,131.6
9,148.05
10,164.5
11,180.95
12,197.4
13,213.85
14,230.3
15,246.75
16,263.2
17,279.65
18,296.1
19,312.55
20,329
21,345.45
22,361.9
23,378.35
24,394.8
25,411.25
26,427.7
27,444.15
28,460.6
29,477.05
30,493.5
31,509.95
32,526.4
33,542.85
34,559.3
35,575.75
36,592.2
37,608.65
38,625.1
39,641.55
40,658
41,674.45
42,690.9
43,707.35
44,723.8
45,740.25
46,756.7
47,773.15
48,789.6
49,806.05
50,822.5
51,838.95
52,855.4
53,871.85
54,888.3
55,904.75
56,921.2
57,937.65
58,954.1
59,970.55
60,987
61,1003.45
62,1019.9
63,1036.35
64,1052.8
65,1069.25
66,1085.7
67,1102.15
68,1118.6
69,1135.05
70,1151.5
71,1167.95
72,1184.4
73,1200.85
74,1217.3
75,1233.75
76,1250.2
77,1266.65
78,1283.1
79,1299.55
80,1316
81,1332.45
82,1348.9
83,1365.35
84,1381.8
85,1398.25
86,1414.7
87,1431.15
88,1447.6
89,1464.05
90,1480.5
91,1496.95
92,1513.4
93,1529.85
94,1546.3
95,1562.75
96,1579.2
97,1595.65
98,1612.1
99,1628.55
100,1645
101,1661.45
102,1677.9
103,1694.35
104,1710.8
105,1727.25
106,1743.7
107,1760.15
108,1776.6
109,1793.05
110,1809.5
111,1825.95
112,1842.4
113,1858.85
114,1875.3
115,1891.75
116,1908.2
117,1924.65
118,1941.1
119,1957.55
120,1974
121,1990.45
122,2006.9
123,2023.35
124,2039.8
125,2056.25
126,2072.7
127,2089.15
128,2105.6
129,2122.05
130,2138.5
131,2154.95
132,2171.4
133,2187.85
134,2204.3
135,2220.75
136,2237.2
137,2253.65
138,2270.1
139,2286.55
140,2303
141,2319.45
142,2335.9
143,2352.35
144,2368.8
145,2385.25
146,2401.7
147,2418.15
148,2434.6
149,2451.05
150,2467.5
151,2483.95
152,2500.4
153,2516.85
154,2533.3
155,2549.75
156,2566.2
157,2582.65
158,2599.1
159,2615.55
160,2632
161,2648.45
162,2664.9
163,2681.35
164,2697.8
165,2714.25
166,2730.7
167,2747.15
168,2763.6
169,2780.05
170,2796.5
171,2812.95
172,2829.4
173,2845.85
174,2862.3
175,2878.75
176,2895.2
177,2911.65
178,2928.1
179,2944.55
180,2961
181,2977.45
182,2993.9
183,3010.35
184,3026.8
185,3043.25
186,3059.7
187,3076.15
188,3092.6
189,3109.05
190,3125.5
191,3141.95
192,3158.4
193,3174.85
194,3191.3
195,3207.75
196,3224.2
197,3240.65
198,3257.1
199,3273.55
200,3290
201,3306.45
202,3322.9
203,3339.35
204,3355.8
205,3372.25
206,3388.7
207,3405.15
208,3421.6
209,3438.05
210,3454.5
211,3470.95
212,3487.4
213,3503.85
214,3520.3
215,3536.75
216,3553.2
217,3569.65
218,3586.1
219,3602.55
220,3619
221,3635.45
222,3651.9
223,3668.35
224,3684.8
225,3701.25
226,3717.7
227,3734.15
228,3750.6
229,3767.05
230,3783.5
231,3799.95
232,3816.4
233,3832.85
234,3849.3
235,3865.75
236,3882.2
237,3898.65
238,3915.1
239,3931.55
240,3948
241,3964.45
242,3980.9
243,3997.35
244,4013.8
245,4030.25
246,4046.7
247,4063.15
248,4079.6
249,4096.05
250,4112.5
251,4128.95
252,4145.4
253,4161.85
254,4178.3
255,4194.75
256,4211.2
257,4227.65
258,4244.1
259,4260.55
260,4277
261,4293.45
262,4309.9
263,4326.35
264,4342.8
265,4359.25
266,4375.7
267,4392.15
268,4408.6
269,4425.05
270,4441.5
271,4457.95
272,4474.4
273,4490.85
274,4507.3
275,4523.75
276,4540.2
277,4556.65
278,4573.1
279,4589.55
280,4606
281,4622.45
282,4638.9
283,4655.35
284,4671.8
285,4688.25
286,4704.7
287,4721.15
288,4737.6
289,4754.05
290,4770.5
291,4786.95
292,4803.4
293,4819.85
294,4836.3
295,4852.75
296,4869.2
297,4885.65
298,4902.1
299,4918.55
300,4935
301,4951.45
302,4967.9
303,4984.35
304,5000.8
305,5017.25
306,5033.7
307,5050.15
308,5066.6
309,5083.05
310,5099.5
311,5115.95
312,5132.4
313,5148.85
314,5165.3
315,5181.75
316,5198.2
317,5214.65
318,5231.1
319,5247.55
320,5264
321,5280.45
322,5296.9
323,5313.35
324,5329.8
325,5346.25
326,5362.7
327,5379.15
328,5395.6
329,5412.05
330,5428.5
331,5444.95
332,5461.4
333,5477.85
334,5494.3
335,5510.75
336,5527.2
337,5543.65
338,5560.1
339,5576.55
340,5593
341,5609.45
342,5625.9
343,5642.35
344,5658.8
345,5675.25
346,5691.7
347,5708.15
348,5724.6
349,5741.05
350,5757.5
351,5773.95
352,5790.4
353,5806.85
354,5823.3
355,5839.75
356,5856.2
357,5872.65
358,5889.1
359,5905.55
360,5922
361,5938.45
362,5954.9
363,5971.35
364,5987.8
365,6004.25
366,6020.7
367,6037.15
368,6053.6
369,6070.05
370,6086.5
371,6102.95
372,6119.4
373,6135.85
374,6152.3
375,6168.75
376,6185.2
377,6201.65
378,6218.1
379,6234.55
380,6251
381,6267.45
382,6283.9
383,6300.35
384,6316.8
385,6333.25
386,6349.7
387,6366.15
388,6382.6
389,6399.05
390,6415.5
391,6431.95
392,6448.4
393,6464.85
394,6481.3
395,6497.75
396,6514.2
397,6530.65
398,6547.1
399,6563.55
400,6580
401,6596.45
402,6612.9
403,6629.35
404,6645.8
405,6662.25
406,6678.7
407,6695.15
408,6711.6
