Acronym,Class Code,Pub Num
AAA,AA,MMO-051-06
ADMIN,AA,MMO-005-23
ADMIN,AA,MMO-006-23
ADMIN,AA,MMO-014-24
ADMIN,AA,MMO-007-24
ADMIN,AA,MMO-010-23
ADMIN,AA,MMO-009-23
ADUS,AA,MMO-015-20
AFCS,AE,MMO-092-12
AFCS200,AA,MMO-149-15
AFSM100,AB,MMO-142-20
AFSM100,AC,MMO-142-20
AFSM100,AD,MMO-143-20
AFSM100,AE,MMO-143-20
AFSM100,AF,MMO-144-20
AFSM100,AG,MMO-144-20
AFTL,AA,MMO-023-10
AFTU,AA,MMO-022-10
AGV,SZ,MMO-005-23
AGV,UZ,MMO-006-23
AGV,SP,MMO-095-20
AGV,ST,MMO-098-20
AGV,UP,MMO-096-20
AGV,UT,MMO-097-20
AIAFSM,AA,MMO-141-20
APBS,AA,MMO-090-16
APPS,AA,MMO-131-16
ASD,CA,MMO-054-06
ASD,DA,MMO-055-06
ASRS,AA,MMO-014-24
ATC,AA,MMO-007-24
ATSII,AA,MMO-132-11
ATSU,AA,MMO-132-11
ATU,AA,MMO-017-16
BAILER,AA,MMO-095-01
BCS,AA,MMO-025-02
BCS,DA,MMO-138-98
BCS,EA,MMO-111-13
BDS,AA,MMO-003-24
BDS,AA,MMO-004-24
CBS,AA,MMO-093-14
CCTV,AA,MMO-056-98
CCTV,AB,MMO-057-98
CFPS,AA,MMO-131-06
CFS,DA,MMO-124-12
CFS,FA,MMO-124-12
CFS,GA,MMO-124-12
CIOSS,AB,MMO-125-16
COMP,BA,MMO-124-23
COMPACT,AA,MMO-037-18
COMPACT,BA,MMO-037-18
CONTL,AA,MMO-038-98
CONTL,BA,MMO-039-98
CONTL,DA,MMO-093-99
CONTL,EA,MMO-118-15
CONTU,AA,MMO-038-98
CONTU,DA,MMO-136-98
CONTU,EA,MMO-088-99
CVY,AA,MMO-112-15
DBCS,BA,MMO-049-16
DBCS,BB,MMO-131-19
DBCS,CI,MMO-017-13
DBCS,CJ,MMO-050-16
DBCS,CK,MMO-148-19
DIOSS,AC,MMO-126-16
DIOSS,AD,MMO-124-16
DIOSS,AE,MMO-124-16
DIOSS,AF,MMO-140-12
DPRC,AA,MMO-006-01
EAA,AA,MMO-124-06
EITS,AA,MMO-010-23
ELEC,AA,MMO-030-98
FMPCS,AA,MMO-137-98
