Stackers,Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
4.0,1.0,1142.0,342.6,1484.6,148.46,1633.06,194.13,1827.19
5.0,1.0,1361.86,408.558,1770.418,177.0418,1947.4598,194.13,2141.5898
6.0,1.0,1366.82,410.046,1776.866,177.6866,1954.5526,194.13,2148.6826
7.0,1.0,1371.8,411.54,1783.34,178.334,1961.674,194.13,2155.804
8.0,1.0,1376.76,413.028,1789.788,178.9788,1968.7668,194.13,2162.8968
9.0,1.0,1381.72,414.516,1796.236,179.6236,1975.8596,194.13,2169.9896
10.0,1.0,1386.7,416.01,1802.71,180.271,1982.981,194.13,2177.111
11.0,1.0,1391.66,417.498,1809.158,180.9158,1990.0738,194.13,2184.2038
12.0,1.0,1396.62,418.986,1815.606,181.5606,1997.1666,194.13,2191.2966
13.0,1.0,1401.6,420.48,1822.08,182.208,2004.288,194.13,2198.418
14.0,1.0,1406.56,421.968,1828.528,182.8528,2011.3808,194.13,2205.5108
15.0,1.0,1411.52,423.456,1834.976,183.4976,2018.4736,194.13,2212.6036
16.0,1.0,1416.5,424.95,1841.45,184.145,2025.595,194.13,2219.725
17.0,1.0,1421.46,426.438,1847.898,184.7898,2032.6878,194.13,2226.8178
18.0,1.0,1426.42,427.926,1854.346,185.4346,2039.7806,194.13,2233.9106
19.0,1.0,1431.4,429.42,1860.82,186.082,2046.902,194.13,2241.032
20.0,1.0,1436.36,430.908,1867.268,186.7268,2053.9948,194.13,2248.1248
21.0,1.0,1441.32,432.396,1873.716,187.3716,2061.0876,194.13,2255.2176
22.0,1.0,1446.3,433.89,1880.19,188.019,2068.209,194.13,2262.339
23.0,1.0,1451.26,435.378,1886.638,188.6638,2075.3018,194.13,2269.4318
24.0,1.0,1456.22,436.866,1893.086,189.3086,2082.3946,194.13,2276.5246
25.0,1.0,1461.2,438.36,1899.56,189.956,2089.516,194.13,2283.646
4.0,2.0,1142.0,342.6,1484.6,148.46,1633.06,388.27,2021.33
5.0,2.0,1361.86,408.558,1770.418,177.0418,1947.4598,388.27,2335.7298
6.0,2.0,1366.82,410.046,1776.866,177.6866,1954.5526,388.27,2342.8226
7.0,2.0,1371.8,411.54,1783.34,178.334,1961.674,388.27,2349.944
8.0,2.0,1376.76,413.028,1789.788,178.9788,1968.7668,388.27,2357.0368
9.0,2.0,1381.72,414.516,1796.236,179.6236,1975.8596,388.27,2364.1296
10.0,2.0,1386.7,416.01,1802.71,180.271,1982.981,388.27,2371.251
11.0,2.0,1391.66,417.498,1809.158,180.9158,1990.0738,388.27,2378.3438
12.0,2.0,1396.62,418.986,1815.606,181.5606,1997.1666,388.27,2385.4366
13.0,2.0,1401.6,420.48,1822.08,182.208,2004.288,388.27,2392.558
14.0,2.0,1406.56,421.968,1828.528,182.8528,2011.3808,388.27,2399.6508
15.0,2.0,1411.52,423.456,1834.976,183.4976,2018.4736,388.27,2406.7436
16.0,2.0,1416.5,424.95,1841.45,184.145,2025.595,388.27,2413.865
17.0,2.0,1421.46,426.438,1847.898,184.7898,2032.6878,388.27,2420.9578
18.0,2.0,1426.42,427.926,1854.346,185.4346,2039.7806,388.27,2428.0506
19.0,2.0,1431.4,429.42,1860.82,186.082,2046.902,388.27,2435.172
20.0,2.0,1436.36,430.908,1867.268,186.7268,2053.9948,388.27,2442.2648
21.0,2.0,1441.32,432.396,1873.716,187.3716,2061.0876,388.27,2449.3576
22.0,2.0,1446.3,433.89,1880.19,188.019,2068.209,388.27,2456.479
23.0,2.0,1451.26,435.378,1886.638,188.6638,2075.3018,388.27,2463.5718
24.0,2.0,1456.22,436.866,1893.086,189.3086,2082.3946,388.27,2470.6646
25.0,2.0,1461.2,438.36,1899.56,189.956,2089.516,388.27,2477.786
5.0,3.0,1142.0,342.6,1484.6,148.46,1633.06,582.4,2215.46
6.0,3.0,1361.86,408.558,1770.418,177.0418,1947.4598,582.4,2529.8598
7.0,3.0,1366.82,410.046,1776.866,177.6866,1954.5526,582.4,2536.9526
8.0,3.0,1371.8,411.54,1783.34,178.334,1961.674,582.4,2544.074
9.0,3.0,1376.76,413.028,1789.788,178.9788,1968.7668,582.4,2551.1668
