Stackers,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total (hrs/yr)
4,442.37,132.711,575.081,57.5081,632.5891
5,447.34,134.202,581.542,58.1542,639.6962
6,452.3,135.69,587.99,58.799,646.789
7,457.27,137.181,594.451,59.4451,653.8961
8,462.24,138.672,600.912,60.0912,661.0032
9,467.2,140.16,607.36,60.736,668.096
10,472.17,141.651,613.821,61.3821,675.2031
11,477.14,143.142,620.282,62.0282,682.3102
12,482.1,144.63,626.73,62.673,689.403
13,487.07,146.121,633.191,63.3191,696.5101
14,492.04,147.612,639.652,63.9652,703.6172
15,497.0,149.1,646.1,64.61,710.71
16,501.97,150.591,652.561,65.2561,717.8171
17,506.94,152.082,659.022,65.9022,724.9242
18,511.9,153.57,665.47,66.547,732.017
19,516.87,155.061,671.931,67.1931,739.1241
20,521.84,156.552,678.392,67.8392,746.2312
21,526.8,158.04,684.84,68.484,753.324
22,531.77,159.531,691.301,69.1301,760.4311
23,536.74,161.022,697.762,69.7762,767.5382
24,541.7,162.51,704.21,70.421,774.631
25,546.67,164.001,710.671,71.0671,781.7381
