Site,Inductions,LIM Modules,Operation (days/wk),Routine Servicing (hrs/yr),Repair (hrs/yr),Total Servicing (hrs/yr),Nonproductive Time (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
Greater Newark P&DC #1,10,26,6,2391.59,717.48,3109.07,310.91,1422.72,4842.7
Greater Newark P&DC #1,10,26,7,2616.92,785.08,3402.0,340.2,1659.84,5402.04
Greater Newark P&DC #2,8,10,6,1778.9,533.67,2312.57,231.26,1060.8,3604.63
Greater Newark P&DC #2,8,10,7,1944.43,583.33,2527.76,252.78,1237.6,4018.14
Bethpage NY P&DC #1,8,20,6,2002.63,600.79,2603.42,260.34,1248.0,4111.76
Bethpage NY P&DC #1,8,20,7,2189.83,656.95,2846.78,284.68,1456.0,4587.46
Bethpage NY P&DC #2,8,10,6,1778.9,533.67,2312.57,231.26,1060.8,3604.63
Bethpage NY P&DC #2,8,10,7,1944.43,583.33,2527.76,252.78,1237.6,4018.14
Nashua NH P&DC #1,8,24,6,2092.13,627.64,2719.77,271.98,1322.88,4314.63
Nashua NH P&DC #1,8,24,7,2287.99,686.4,2974.39,297.44,1543.36,4815.19
