Stackers,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
110,5,1,936.62,280.986,1217.606,121.7606,1339.3666,277.33,1616.6966
126,5,1,957.95,287.385,1245.335,124.5335,1369.8685,277.33,1647.1985
142,5,1,972.76,291.828,1264.588,126.4588,1391.0468,277.33,1668.3768
158,5,1,988.85,296.655,1285.505,128.5505,1414.0555,277.33,1691.3855
174,5,1,1002.34,300.702,1303.042,130.3042,1433.3462,277.33,1710.6762
190,5,1,1021.56,306.468,1328.028,132.8028,1460.8308,277.33,1738.1608
206,5,1,1036.35,310.905,1347.255,134.7255,1481.9805,277.33,1759.3105
222,5,1,1051.14,315.342,1366.482,136.6482,1503.1302,277.33,1780.4602
238,5,1,1065.93,319.779,1385.709,138.5709,1524.2799,277.33,1801.6099
254,5,1,1084.95,325.485,1410.435,141.0435,1551.4785,277.33,1828.8085
270,5,1,1099.76,329.928,1429.688,142.9688,1572.6568,277.33,1849.9868
286,5,1,1114.55,334.365,1448.915,144.8915,1593.8065,277.33,1871.1365
302,5,1,1129.33,338.799,1468.129,146.8129,1614.9419,277.33,1892.2719
110,6,1,1083.95,325.185,1409.135,140.9135,1550.0485,332.8,1882.8485
126,6,1,1107.02,332.106,1439.126,143.9126,1583.0386,332.8,1915.8386
142,6,1,1122.69,336.807,1459.497,145.9497,1605.4467,332.8,1938.2467
158,6,1,1139.65,341.895,1481.545,148.1545,1629.6995,332.8,1962.4995
174,6,1,1154.01,346.203,1500.213,150.0213,1650.2343,332.8,1983.0343
190,6,1,1174.96,352.488,1527.448,152.7448,1680.1928,332.8,2012.9928
206,6,1,1190.62,357.186,1547.806,154.7806,1702.5866,332.8,2035.3866
222,6,1,1206.27,361.881,1568.151,156.8151,1724.9661,332.8,2057.7661
238,6,1,1221.93,366.579,1588.509,158.8509,1747.3599,332.8,2080.1599
254,6,1,1242.68,372.804,1615.484,161.5484,1777.0324,332.8,2109.8324
270,6,1,1258.36,377.508,1635.868,163.5868,1799.4548,332.8,2132.2548
286,6,1,1274.02,382.206,1656.226,165.6226,1821.8486,332.8,2154.6486
302,6,1,1289.66,386.898,1676.558,167.6558,1844.2138,332.8,2177.0138
110,7,1,1231.28,369.384,1600.664,160.0664,1760.7304,338.27,2099.0004
126,7,1,1256.09,376.827,1632.917,163.2917,1796.2087,338.27,2134.4787
142,7,1,1272.62,381.786,1654.406,165.4406,1819.8466,338.27,2158.1166
158,7,1,1290.45,387.135,1677.585,167.7585,1845.3435,338.27,2183.6135
174,7,1,1305.68,391.704,1697.384,169.7384,1867.1224,338.27,2205.3924
190,7,1,1328.36,398.508,1726.868,172.6868,1899.5548,338.27,2237.8248
206,7,1,1344.89,403.467,1748.357,174.8357,1923.1927,338.27,2261.4627
222,7,1,1361.4,408.42,1769.82,176.982,1946.802,338.27,2285.072
238,7,1,1377.93,413.379,1791.309,179.1309,1970.4399,338.27,2308.7099
254,7,1,1400.41,420.123,1820.533,182.0533,2002.5863,338.27,2340.8563
270,7,1,1416.96,425.088,1842.048,184.2048,2026.2528,338.27,2364.5228
286,7,1,1433.49,430.047,1863.537,186.3537,2049.8907,338.27,2388.1607
302,7,1,1449.99,434.997,1884.987,188.4987,2073.4857,338.27,2411.7557
110,5,2,936.62,280.986,1217.606,121.7606,1339.3666,554.67,1894.0366
126,5,2,957.95,287.385,1245.335,124.5335,1369.8685,554.67,1924.5385
142,5,2,972.76,291.828,1264.588,126.4588,1391.0468,554.67,1945.7168
158,5,2,988.85,296.655,1285.505,128.5505,1414.0555,554.67,1968.7255
174,5,2,1002.34,300.702,1303.042,130.3042,1433.3462,554.67,1988.0162
190,5,2,1021.56,306.468,1328.028,132.8028,1460.8308,554.67,2015.5008
206,5,2,1036.35,310.905,1347.255,134.7255,1481.9805,554.67,2036.6505
222,5,2,1051.14,315.342,1366.482,136.6482,1503.1302,554.67,2057.8002
238,5,2,1065.93,319.779,1385.709,138.5709,1524.2799,554.67,2078.9499
254,5,2,1084.95,325.485,1410.435,141.0435,1551.4785,554.67,2106.1485
270,5,2,1099.76,329.928,1429.688,142.9688,1572.6568,554.67,2127.3268
286,5,2,1114.55,334.365,1448.915,144.8915,1593.8065,554.67,2148.4765
302,5,2,1129.33,338.799,1468.129,146.8129,1614.9419,554.67,2169.6119
110,6,2,1083.95,325.185,1409.135,140.9135,1550.0485,665.6,2215.6485
126,6,2,1107.02,332.106,1439.126,143.9126,1583.0386,665.6,2248.6386
142,6,2,1122.69,336.807,1459.497,145.9497,1605.4467,665.6,2271.0467
158,6,2,1139.65,341.895,1481.545,148.1545,1629.6995,665.6,2295.2995
174,6,2,1154.01,346.203,1500.213,150.0213,1650.2343,665.6,2315.8343
190,6,2,1174.96,352.488,1527.448,152.7448,1680.1928,665.6,2345.7928
206,6,2,1190.62,357.186,1547.806,154.7806,1702.5866,665.6,2368.1866
222,6,2,1206.27,361.881,1568.151,156.8151,1724.9661,665.6,2390.5661
238,6,2,1221.93,366.579,1588.509,158.8509,1747.3599,665.6,2412.9599
254,6,2,1242.68,372.804,1615.484,161.5484,1777.0324,665.6,2442.6324
270,6,2,1258.36,377.508,1635.868,163.5868,1799.4548,665.6,2465.0548
286,6,2,1274.02,382.206,1656.226,165.6226,1821.8486,665.6,2487.4486
302,6,2,1289.66,386.898,1676.558,167.6558,1844.2138,665.6,2509.8138
110,7,2,1231.28,369.384,1600.664,160.0664,1760.7304,776.53,2537.2604
126,7,2,1256.09,376.827,1632.917,163.2917,1796.2087,776.53,2572.7387
142,7,2,1272.62,381.786,1654.406,165.4406,1819.8466,776.53,2596.3766
158,7,2,1290.45,387.135,1677.585,167.7585,1845.3435,776.53,2621.8735
174,7,2,1305.68,391.704,1697.384,169.7384,1867.1224,776.53,2643.6524
190,7,2,1328.36,398.508,1726.868,172.6868,1899.5548,776.53,2676.0848
