Inductions,Operation (days/wk),Tours/Day,Routine Servicing (hrs/yr),Repair (hrs/yr),Routine Servicing + Repair Time (hrs/yr),Nonproductive Time (hrs/yr),Total Servicing (hrs/yr),Operational Maintenance (hrs/yr),Total (hrs/yr)
2,5,1,1.683333333,0.505,2.188333333,0.284483333,2.472816667,450.67,453.1428167
2,6,1,1.683333333,0.505,2.188333333,0.284483333,2.472816667,540.8,543.2728167
2,7,1,1.683333333,0.505,2.188333333,0.284483333,2.472816667,630.93,633.4028167
2,5,2,1.683333333,0.505,2.188333333,0.284483333,2.472816667,901.34,903.8128167
2,6,2,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1081.6,1084.072817
2,7,2,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1261.86,1264.332817
2,5,3,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1352.01,1354.482817
2,6,3,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1622.4,1624.872817
2,7,3,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1892.79,1895.262817
3,5,1,1.683333333,0.505,2.188333333,0.284483333,2.472816667,472.33,474.8028167
3,6,1,1.683333333,0.505,2.188333333,0.284483333,2.472816667,566.8,569.2728167
3,7,1,1.683333333,0.505,2.188333333,0.284483333,2.472816667,661.27,663.7428167
3,5,2,1.683333333,0.505,2.188333333,0.284483333,2.472816667,944.66,947.1328167
3,6,2,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1133.6,1136.072817
3,7,2,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1322.54,1325.012817
3,5,3,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1416.99,1419.462817
3,6,3,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1700.4,1702.872817
3,7,3,1.683333333,0.505,2.188333333,0.284483333,2.472816667,1983.81,1986.282817
