File Name,Column 1 Header,Column 2 Header,Column 3 Header,Column 4 Header,Column 5 Header,Column 6 Header,Column 7 Header,Column 8 Header
header_analysis.csv,File Name,Column 1 Header,Column 2 Header,Column 3 Header,Column 4 Header,Column 5 Header,Column 6 Header,Column 7 Header
MMO-001-18-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-002-18-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-005-01-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-005-23-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-006-01-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-006-23-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-007-07-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-007-24-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-009-23-Labor-Lookup.csv,Equipment Code,Total (hrs/yr),,,,,,
MMO-010-23-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-010-24-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-013-21-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-014-24-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-015-20-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-017-13-Labor-Lookup.csv,Stackers,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,
MMO-017-16-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-017-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-018-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-019-22-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-022-10-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-023-10-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-024-00-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-024-18-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-025-02-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-030-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-035-23-Labor-Lookup.csv,Stackers,Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-036-23-Labor-Lookup.csv,Stackers,Total (hrs/yr),,,,,,
MMO-037-18-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-037-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-038-01-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-038-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-039-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-040-04-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-040-13-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-040-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-041-04-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-041-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-042-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-043-04-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-043-14-Labor-Lookup.csv,Operation (days/wk),Total (hrs/yr),,,,,,
MMO-044-04-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-044-14-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-045-04-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-045-15-Labor-Lookup.csv,Operation (days/wk),Tours/Day,Operational Maintenance (hrs/yr),Total (hrs/yr),,,,
MMO-045-98-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
MMO-046-04-Labor-Lookup.csv,Total (hrs/yr),,,,,,,
